,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
25,Aracataca,10.5918,-74.1898,78.17,56,0,3.53,CO,1584241200,Hospedaje El Porvenir
307,Portmore,17.9702,-76.8672,74.12,90,0,4.47,JM,1584241200,Grand Port Royal Hotel Marina & Spa
382,Kopong,-24.4833,25.8833,70.12,47,0,0.89,BW,1584241200,Kopong Guest House
502,Douentza,14.9951,-2.9517,72.16,14,0,4.68,ML,1584241200,Ogomono Doumbo
543,Camapuã,-19.5314,-54.0439,73.67,83,0,7.25,BR,1584241200,Comercial Estrela
560,Beira,-19.8436,34.8389,77.18,83,0,7.81,MZ,1584241200,Beira Terrace Hotel
